distrito,year_date_of_spill_edit,mes_date_of_spill_edit,dia_date_of_spill_edit,release_prod_wtr,operator_rp,tipo_operacion_rrc,probable_cause,probable_cause_edit,spill_sustancias,release_crude_oil,release_cond,release_gas,recovery_crude_oil,recovery_cond,recovery_prod_wtr,affected_area,grado_sensibilidad_area,sensibilidad_area,cleanup_method,metodos_aplicados
26/6/2013,26.0,27/6/2013,27/6/2013,160,SABCO OPERATING COMPANY,,,,2013-01-7741,0,0.0,0,,,,1,1,,,
12/3/2013,12.0,12/3/2013,12/3/2013,0,BRISCOE COCHINA EAST CPF-B,CPF,0,0,2013-01-2973,0,,,0,,H-8,,,NO,,
24/4/2013,24.0,24/4/2013,24/4/2013,0,BRISCOE CATARINA NORTH CPF-C,CPF,0,0,2013-01-5040,0,,,0,,LETTER,,,NO,,
25/4/2013,25.0,25/4/2013,25/4/2013,0,BRISCOE CHIP EAST CPF-A,CPF,0,0,2013-01-5076,10,,,1,,H-8,,,NO,,
19/6/2013,19.0,19/6/2013,19/6/2013,0,BRISCOE CARLA CPF-C,,0,0,2013-01-7369,0,,,0,,VERBAL,,,NO,,
22/6/2013,22.0,23/6/2013,23/6/2013,0,BRISCOE CATARINA NORTH 61H,,0,0,2013-01-7442,0,,,0,,RULE 20,,,NO,,
24/3/2013,24.0,24/3/2013,24/3/2013,4578,Anadarko (acq. by Occidental 2019),,SAFETY VALVE FAILURE,0,2013-01-10962,0,0.0,0,0,0,168,1,,NO,,
15/9/2013,15.0,16/9/2013,16/9/2013,1470,Anadarko (acq. by Occidental 2019),,FRAC'ING COMMUNICATION,0,2013-01-10914,0,1.0,0,0,0,0,1,,NO,,
9/10/2013,9.0,10/10/2013,10/10/2013,2100,Anadarko (acq. by Occidental 2019),,HOLE IN HOSE,0,2013-01-11863,0,0.0,0,0,0,0,1,,NO,,
09/0913,9.0,9/9/2013,9/9/2013,0,EDWARDS B,,0,0,2013-01-10560,0,,,0,,VERBAL,,,NO,,
29/10/2013,29.0,29/10/2013,29/10/2013,0,IMMENHAUSER,,,,2013-02-6194,34,,,,,VERBAL,,,NO,,
6/4/2013,6.0,7/4/2013,7/4/2013,0,IRVIN A UNIT,,25,1050,2013-01-4109,0,,,0,,H-8,,,NO,,
2/6/2013,2.0,2/6/2013,2/6/2013,13440,INC.,,WEATHER,0,2013-02-3159,0,63.0,0,0,0,0,1,,NO,,
9/3/2013,9.0,9/3/2013,9/3/2013,190,EOG RESOURCES,,LEAKING TANK,LEAKING TANK,2013-01-2836,10,0.0,0,10,0,0,1,1,,,
13/4/2013,13.0,15/4/2013,15/4/2013,320,EOG RESOURCES,,HUMAN ERROR,HUMAN ERROR,2013-01-4493,0,0.0,0,0,0,320,1,1,,,
9/4/2013,9.0,10/4/2013,10/4/2013,200,EOG RESOURCES,,HUMAN ERROR,HUMAN ERROR,2013-01-4285,0,0.0,0,0,0,200,1,1,,,
13/10/2013,13.0,13/10/2013,13/10/2013,600,EOG RESOURCES,,VALVE FAILURE,VALVE FAILURE,2013-01-11897,1250,0.0,0,920,0,600,1,1,,,
25/3/2013,25.0,24/3/2013,24/3/2013,0,GRAHAM #1H,,45,1890,2013-01-3535,0,,,0,,H-8,,,NO,,
7/9/2013,7.0,9/9/2013,9/9/2013,0,BURNS RANCH -A-,,10,420,2013-01-10684,0,,,0,,VERBAL,,,NO,,
6/1/2013,6.0,7/1/2013,7/1/2013,0,TONEY,,1,42,2013-02-128,0,,,0,,H-8,,,NO,,
10/2/2013,10.0,10/2/2013,10/2/2013,0,WEST RANCH CENTRAL TB,,12,504,2013-01-1487,0,,,0,,H-8,,,NO,,
14/2/2013,14.0,14/2/2013,14/2/2013,0,WEST RANCH CENTRAL TB,,40,1680,2013-02-975,0,,,,,LETTER,,,NO,,
6/7/2013,6.0,6/7/2013,6/7/2013,16800,LAMBERT,,HIGH WATER ALARM FAILED,0,2013-02-3888,0,0.0,0,0,0,16800,1,,NO,,
17/7/2013,17.0,17/7/2013,17/7/2013,0,SCHENDEL,,108,4536,2013-02-4101,0,,,0,,VERBAL,,,NO,,
22/8/2013,22.0,22/8/2013,22/8/2013,0,CMWWA 4303,,0,0,2013-01-9919,0,,,0,,VERBAL,,,NO,,
8/10/2013,8.0,8/10/2013,8/10/2013,0,CMWW A,,7,294,2013-01-11735,0,,,0,,VERBAL,,,NO,,
18/11/2013,18.0,18/11/2013,18/11/2013,115,NORTH SOUTH OIL,,FLOW LINE FAILURE,FLOW LINE FAILURE,2013-01-13203,15,0.0,0,15,0,115,1,1,,,
3/3/2013,3.0,3/3/2013,3/3/2013,0,HANDY 01 - 1H,,0,0,2013-02-1112,20,,,18,,VERBAL,,,NO,,
2/9/2013,2.0,2/9/2013,2/9/2013,7644,MAREK,,VALVE BROKE OFF,62,2013-02-5092,2604,0.0,0,,,,1,,NO,,
,,,,,,,,,,,,,,,,,,,,
28/10/2013,28.0,29/10/2013,29/10/2013,0,TOMASEK GAS UNIT - SATELLITE 4,,0,0,2013-02-6181,0,,,0,,VERBAL,,,NO,,
11/9/2013,11.0,11/9/2013,11/9/2013,0,BRIDWELL LIMITED UNIT,,10,420,2013-01-10701,0,,,0,,VERBAL,,,NO,,
12/9/2013,12.0,12/9/2013,12/9/2013,0,LIVE BEE UNIT,,0,0,2013-02-5246,0,,,0,,H-8,,,NO,,
1/3/2013,1.0,1/3/2013,1/3/2013,84,STULTING,,HUMAN ERROR,3-may,2013-01-2432,168,0.0,0,,,,1,,NO,,
6/4/2013,6.0,7/4/2013,7/4/2013,150,SWIFT ENERGY OPERATING,,BROKEN THREADS AT TANK DUMP LINE,BROKEN THREADS AT TANK DUMP LINE,2013-01-4108,0,0.0,0,130,0,0,1,1,,,
17/12/2014,17.0,17/12/2014,17/12/2014,0,GOODRIDGE,,0,0,2013-01-14390,0,,,0,,VERBAL,,,NO,,
28/8/2013,28.0,28/8/2013,28/8/2013,0,FROST NATIONAL BANK,,0,0,2013-01-10195,0,,,0,,VERBAL,,,NO,,
1/10/2013,1.0,1/10/2013,1/10/2013,0,ROBERTS FEE WXD FACILITY,,5,210,2013-01-11424,,,,0,,H-8,,,YES,,
19/7/2013,19.0,19/7/2013,19/7/2013,0,PRASEK 139,,>5,210,2013-02-4156,0,,,,,VERBAL,,,NO,,
2/1/2014,2.0,3/1/2014,3/1/2014,3,CHESAPEAKE OPERATING,,CORROSION,CORROSION,2014-01-105,22,0.0,0,,,,1,1,,,
27/1/2014,27.0,27/1/2014,27/1/2014,8778,CHITTIM,,CORROSION,0,2014-01-1043,0,0.0,0,,,,1,,YES,,
6/2/2014,6.0,6/2/2014,6/2/2014,2940,TX ENERGY SERVICES LLC,,CORROSION,0,2014-01-1495,0,0.0,0,,,,1,,NO,,
11/2/2014,11.0,11/2/2014,11/2/2014,1,SWIFT ENERGY OPERATING,,MECHANICAL FAILURE,MECHANICAL FAILURE,2014-01-1758,10,0.0,0,,,,1,1,,,
22/2/2014,22.0,22/2/2014,22/2/2014,40,CHESAPEAKE OPERATING,,BROKEN SITE GLASS,BROKEN SITE GLASS,2014-01-2524,0,0.0,0,,,,1,1,,,
27/2/2014,27.0,28/2/2014,28/2/2014,0,TOM HANKS EF,,0,0,2014-01-2795,0,,,,,VERBAL,,,NO,,
19/4/2014,19.0,20/4/2014,20/4/2014,0,MAHAN-COLWELL 1H TANK BATTERY,,6,252,2014-01-5147,0,,,0,,VERBAL,,,NO,,
27/4/2014,27.0,27/4/2014,27/4/2014,1092,1893 OIL & GAS LTD.,,DUMP VALVE FAILURE,12,2014-02-2391,504,0.0,0,504,,,1,,NO,,
2/5/2014,2.0,12/5/2014,12/5/2014,0,MORO CREEK EAST CENTRAL TANK BATTERY,,10.5,441,2014-01-6304,0,,,0,,VERBAL,,,NO,,
13/5/2014,13.0,13/5/2014,13/5/2014,0,COPANO,,0,0,2014-02-2791,0,,,0,,VERBAL,,,NO,,
15/5/2014,15.0,15/5/2014,15/5/2014,0,BEINHORN CPF-C,,0,0,2014-01-6499,80,,,40,,VERBAL,,,NO,,
14/5/2014,14.0,15/5/2014,15/5/2014,0,NORTH LONGHORN BOOSTER STATION,,15,630,2014-02-2923,0,,,0,,VERBAL,,,YES,,
19/5/2014,19.0,21/5/2014,21/5/2014,420,MARINES,,LEAK,3,2014-01-6850,126,0.0,0,0,0,0,1,,NO,,
,,,,,,,,,,,,,,,,,,,,
5/6/2014,5.0,5/6/2014,5/6/2014,8400,TRAMMELL,,HOLE IN FLOWLINE,8,2014-01-7647,336,0.0,0,,,,1,,NO,,
6/6/2014,6.0,6/6/2014,6/6/2014,60,CHESAPEAKE OPERATING,,CORROSION ON TANK VALVE,CORROSION,2014-01-7718,0,0.0,0,0,0,0,1,1,,,
7/6/2014,7.0,7/6/2014,7/6/2014,0,RAND MILLER,,5,210,2014-01-7763,0,,,0,,VERBAL,,,NO,,
20/6/2014,20.0,20/6/2014,20/6/2014,0,MAKERS 3H,,20,840,2014-01-8422,0,,,0,,VERBAL,,,NO,,
26/6/2014,26.0,26/6/2014,26/6/2014,18900,LAMBERT,,WEATHER,0,2014-02-3923,0,0.0,0,0,0,12600,1,,NO,,
11/7/2014,11.0,11/7/2014,11/7/2014,0,WEST RANCH,,10,420,2014-02-4254,0,,,0,,VERBAL,,,YES,,
11/7/2014,11.0,14/7/2014,14/7/2014,30,EOG RESOURCES,,LEAK,LEAK,2014-01-9644,100,0.0,0,,,,1,1,,,
21/7/2014,21.0,21/7/2014,21/7/2014,0,DEWITT CENTRAL FACILITY NO. 14,,2.3599999999999999,99.12,2014-02-4464,0,,,,,VERBAL,,,NO,,
20/7/2014,20.0,21/7/2014,21/7/2014,100,EOG RESOURCES,,FAILED O-RING,FAILED O-RING,2014-01-9996,0,0.0,0,0,0,100,1,1,,,
20/7/2014,20.0,21/7/2014,21/7/2014,4200,EP ENERGY E&P COMPANY,,CORROSION,220,2014-01-9995,9240,0.0,0,,,,1,,NO,,
22/7/2014,22.0,22/7/2014,22/7/2014,30,PENN VIRGINIA OIL & GAS,,FAILED ANODE CONNECTION,FAILED ANODE CONNECTION,2014-01-10078,30,0.0,0,,,,1,1,,,
24/7/2014,24.0,25/7/2014,25/7/2014,0,MUMME RANCH,,10,420,2014-01-10272,0,,,,,VERBAL,,,NO,,
30/7/2014,30.0,31/7/2014,31/7/2014,575,STONEGATE PRODUCTION COMPANY,,,,2014-01-10610,1,0.0,0,,,,1,1,,,
10/8/2014,10.0,11/8/2014,11/8/2014,175,PENN VIRGINIA OIL & GAS,,CORROSION,CORROSION,2014-01-11048,0,0.0,0,0,0,175,1,1,,,
11/8/2014,11.0,11/8/2014,11/8/2014,12,SWIFT ENERGY OPERATING,,HOLE IN TANK,HOLE IN TANK,2014-01-11088,18,0.0,0,12,0,0,1,1,,,
12/8/2014,12.0,12/8/2014,12/8/2014,33600,TONEY,,WEATHER,5,2014-02-5035,210,0.0,0,189,0,33600,1,,NO,,
18/8/2014,18.0,18/8/2014,18/8/2014,0,KBS CENTRAL FACILITY,,156,6552,2014-01-11374,0,,,0,,H-8,,,,,
16/8/2014,16.0,18/8/2014,18/8/2014,0,CMWW B-B2 CENTRAL TANK BATTERY,,70,2940,2014-01-11373,0,,,0,,,,,,,
26/8/2014,26.0,27/8/2014,27/8/2014,0,SOUTH TEXAS SYNDICATE,,0,0,2014-01-11830,0,,,0,,VERBAL,,,NO,,
26/8/2014,26.0,29/8/2014,29/8/2014,,BRISCOE CATARINA WEST CPF-E,,,,2014-01-11993,,,,,,,,,NO,,
,,,,,,,,,,,,,,,,,,,,
14/9/2014,14.0,15/9/2014,15/9/2014,120,EOG RESOURCES,,BOLTS NOT TIGHTENED,BOLTS NOT TIGHTENED,2014-02-5790,,,,,,120,1,1,,,
,,,,,,,,,,,,,,,,,,,,
20/9/2014,20.0,20/9/2014,20/9/2014,1050,EP ENERGY E&P COMPANY,,LEAK,25,2014-01-12981,1050,0.0,0,,,,1,,NO,,
